var,country,country_name,code,region,city,airport,latitude,longitude
IataAAN,ae,United Arab Emirates,aan,Abu Zaby,Al Ain,Al Ain International Airport,24.2617,55.6092
IataAUH,ae,United Arab Emirates,auh,Abu Zaby,Abu Dhabi,Abu Dhabi International Airport,24.433,54.6511
IataAYM,ae,United Arab Emirates,aym,Abu Zaby,Abu Dhabi,Yas Island Seaplane Base,24.467,54.6103
IataAZI,ae,United Arab Emirates,azi,Abu Zaby,Abu Dhabi,Al Bateen Executive Airport,24.4283,54.4581
IataDCG,ae,United Arab Emirates,dcg,Dubayy,,Dubai Creek Seaplane Base,25.2422,55.3314
IataDHF,ae,United Arab Emirates,dhf,Abu Zaby,,Al Dhafra Air Base,24.2482,54.5477
IataDJH,ae,United Arab Emirates,djh,Dubayy,,Jebel Ali Seaplane Base,24.989,55.0238
IataDWC,ae,United Arab Emirates,dwc,Dubayy,Dubai,Al Maktoum International Airport,24.8964,55.1614
IataDXB,ae,United Arab Emirates,dxb,Dubayy,Dubai,Dubai International Airport,25.2528,55.3644
IataFJR,ae,United Arab Emirates,fjr,Al Fujayrah,Fujairah,Fujairah International Airport,25.1122,56.324
IataNHD,ae,United Arab Emirates,nhd,Dubayy,Dubai,Al Minhad Air Base,25.0268,55.3662
IataRHR,ae,United Arab Emirates,rhr,Ra's al Khaymah,,Al Hamra Seaplane Base,25.691,55.778
IataRKT,ae,United Arab Emirates,rkt,Ra's al Khaymah,Ras Al Khaimah,Ras Al Khaimah International Airport,25.6135,55.9388
IataSHJ,ae,United Arab Emirates,shj,Ash Shariqah,Sharjah,Sharjah International Airport,25.3286,55.5172
IataXSB,ae,United Arab Emirates,xsb,Abu Zaby,Sir Bani Yas,Sir Bani Yas Airport,24.2836,52.5803
IataZDY,ae,United Arab Emirates,zdy,Abu Zaby,Delma Island,Dalma Airport,24.51,52.3352
IataBIN,af,Afghanistan,bin,Bamyan,Bamyan,Bamyan Airport,34.817,67.817
IataBST,af,Afghanistan,bst,Helmand,Lashkar Gah,Bost Airport,31.5597,64.365
IataCCN,af,Afghanistan,ccn,Ghor,Chaghcharan,Chaghcharan Airport,34.5265,65.271
IataDAZ,af,Afghanistan,daz,Badakhshan,Darwaz,Darwaz Airport,38.4611,70.8825
IataDWR,af,Afghanistan,dwr,Helmand,Reg,Dwyer Airport,31,64
IataFAH,af,Afghanistan,fah,Farah,Farah,Farah Airport,32.367,62.183
IataFBD,af,Afghanistan,fbd,Badakhshan,Fayzabad,Fayzabad Airport,37.1211,70.5181
IataGRG,af,Afghanistan,grg,Kabul,Gardez,Gardez Airport,33.6315,69.2394
IataGZI,af,Afghanistan,gzi,Ghazni,Ghazni,Ghazni Airport,33.5312,68.4129
IataHEA,af,Afghanistan,hea,Herat,Herat,Herat International Airport,34.21,62.2283
IataJAA,af,Afghanistan,jaa,Nangarhar,Jalalabad,Jalalabad Airport,34.3998,70.4986
IataKBL,af,Afghanistan,kbl,Kabul,Kabul,Kabul International Airport,34.5658,69.2131
IataKDH,af,Afghanistan,kdh,Kandahar,Kandahar,Kandahar International Airport,31.5058,65.8478
IataKHT,af,Afghanistan,kht,Khost,Khost Province,Khost Airfield,33.3334,69.952
IataKUR,af,Afghanistan,kur,Badakhshan,Skazar,Razer Airport,37.752,-89.0154
IataKWH,af,Afghanistan,kwh,Badakhshan,Khwahan,Khwahan Airport,37.883,70.217
IataLQN,af,Afghanistan,lqn,Badghis,Badghis Province,Qala i Naw Airport,34.985,63.1178
IataMMZ,af,Afghanistan,mmz,Faryab,Maymana,Maymana Airport,35.9308,64.7609
IataMZR,af,Afghanistan,mzr,Balkh,Mazar-i-Sharif,Mazar-e Sharif International Airport,36.7069,67.2097
IataOAA,af,Afghanistan,oaa,Logar,Baraki Barak,Forward Operating Base Shank,33.9225,69.0772
IataOAH,af,Afghanistan,oah,Herat,Shindand,Shindand Air Base,33.3913,62.261
IataOAI,af,Afghanistan,oai,Parwan,Bagram,Bagram Airfield,34.9461,69.265
IataOAS,af,Afghanistan,oas,Paktika,Sharana,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385
IataOAZ,af,Afghanistan,oaz,Helmand,Lashkar Gah,Camp Bastion Air Base,31.8638,64.2246
IataOLR,af,Afghanistan,olr,Khost,Khost,Forward Operating Base Salerno,33.3638,69.9561
IataSBF,af,Afghanistan,sbf,Ghazni,Band E Sardeh Dam,Sardeh Band Airport,33.3207,68.6365
IataSGA,af,Afghanistan,sga,Badakhshan,Shighnan,Sheghnan Airport,37.567,71.5
IataTII,af,Afghanistan,tii,Kandahar,Tarinkot,Tarinkot Airport,32.6042,65.8658
IataTQN,af,Afghanistan,tqn,Takhar,Taleqan,Taloqan Airport,36.7707,69.532
IataUND,af,Afghanistan,und,Kunduz,Kunduz,Kunduz Airport,36.6651,68.9108
IataURN,af,Afghanistan,urn,Paktika,Urgun,Urgun Airport,32.9318,69.1563
IataURZ,af,Afghanistan,urz,Kandahar,Orūzgān,Uruzgan Airport,32.903,66.6309
IataZAJ,af,Afghanistan,zaj,Herat,,Zaranj Airport,30.9722,61.8658
IataANU,ag,Antigua and Barbuda,anu,Saint George,St. John's,V. C. Bird International Airport,17.1367,-61.7927
IataBBQ,ag,Antigua and Barbuda,bbq,Barbuda,Codrington,Barbuda Codrington Airport,17.6358,-61.8286
IataAXA,ai,Anguilla,axa,Anguilla,The Valley,Clayton J. Lloyd International Airport,18.2048,-63.0551
IataKFZ,al,Albania,kfz,Northern Albania,Kukës,,42.0358,20.4160
IataEVN,am,Armenia,evn,Erevan,Yerevan,Zvartnots International Airport,40.1473,44.3959
IataLWN,am,Armenia,lwn,Sirak,Gyumri,Gyumri Shirak Airport,40.7504,43.8593
IataANL,ao,Angola,anl,Bie,Andulo,Andulo Airport,-11.4723,16.7109
IataARZ,ao,Angola,arz,Zaire,N'zeto,N'zeto Airport,-7.25944,12.8631
IataAZZ,ao,Angola,azz,Bengo,Ambriz,Ambriz Airport,-7.86222,13.1161
IataBUG,ao,Angola,bug,Benguela,Benguela,Benguela Airport (Gen. V. Deslandes Airport),-12.609,13.4037
IataCAB,ao,Angola,cab,Cabinda,Cabinda,Cabinda Airport,-5.59699,12.1884
IataCAV,ao,Angola,cav,Moxico,Cazombo,Cazombo Airport,-11.8931,22.9164
